Testosterone<20,,Testosterone20-50,
X,Y,X,Y
0.7500000000000004,0.003217809874839106,0,0.0004022988505746894
1.0000000000000004,0.003246708956863187,0.25,0.00040229885065612425
1.2500000000000004,0.005694747486550411,0.5,0.00040229885057757597
1.5000000000000013,0.005632199220292733,0.7500000000000004,0.0004019145992400497
1.7500000000000004,0.012501672770622141,1.0000000000000004,0.008605106138197705
2.0000000000000004,0.013676865515592551,1.2500000000000004,0.018978137187155464
2.2500000000000004,0.019312195160086087,1.5000000000000013,0.03178208225729495
2.5000000000000004,0.02384068169070247,1.7500000000000004,0.03982816380148202
2.7500000000000004,0.028279106774419083,2.0000000000000004,0.047884244586888114
3.0000000000000004,0.03377362736168721,2.2500000000000004,0.05194103173113762
3.2500000000000004,0.03379303630199765,2.5000000000000004,0.060344819148117734
3.5000000000000013,0.037423535525853924,2.7500000000000004,0.0673076808665472
3.7500000000000004,0.053908080740017794,3.0000000000000004,0.0830268033363219
4,0.05390804594180132,3.2500000000000004,0.09172414153579503
4.25,0.06152723730365983,3.5000000000000013,0.1060819897942279
4.5,0.0688187870441781,3.7500000000000004,0.10580459770065831
4.75,0.08047901729753071,4,0.10580460080152532
5,0.08850556210762914,4.25,0.11619540998693498
5.25,0.08848781485783916,4.5,0.115926371783242
5.5,0.10250483670833155,4.75,0.13539319397435037
5.75,0.11183479260529086,5,0.16735627641883427
6,0.12212820453752632,5.25,0.17339044702394987
6.25,0.13059788444692846,5.5,0.1733909622981429
6.500000000000002,0.14001217972604485,5.75,0.1806802825510184
6.75,0.1464420730431232,6,0.19476293523050348
7,0.1629496615796758,6.25,0.20748133001298483
7.25,0.16655172413834687,6.500000000000002,0.21603448277385745
7.5,0.16655172414846395,6.75,0.2160344827586214
7.75,0.1709446849076005,7,0.2160344827586214
8,0.1834398323556915,7.25,0.2160344827586214
8.25,0.18344827586199636,7.5,0.2160344827586214
8.5,0.18344827586206933,7.75,0.2160344827586214
8.75,0.18344827586206933,8,0.2160344827586213
9,0.18344827586206933,8.25,0.21603437751267118
9.25,0.18344827586206933,8.5,0.22890743437637123
9.5,0.18344827586206933,8.75,0.22890804597701248
9.750000000000002,0.183448275861945,9,0.22890781990186543
10,0.1836122666955803,9.25,0.2623016133574437
10.25,0.1983333312294779,9.5,0.2624957396062056
,,9.750000000000002,0.28120689768031376
,,10,0.28120700568972756
,,10.25,0.30695723055312707
