Testosterone>=1.7,,0.7>Testosterone>=0.35,,Testosterone<0.35,,0.7<=Testosterone<1.7,
X,Y,X,Y,X,Y,X,Y
1,0.9960970410597318,1,0.9960970410597318,1,0.9960970410597318,29.000000000000014,0.9981424148607669
29.000000000000014,0.9981424148606776,29.000000000000014,0.990435234410813,29.000000000000014,0.9960970410597318,57,0.5072520944395665
57,0.998142413681612,57,0.9450573539236043,57,0.9960943758291793,85,0.5072501059254276
85,0.9961942932195129,85,0.9470080698355051,85,0.9940516672587869,,
,,113,0.8425283982843292,113,0.9793144450974878,,
,,141.00000000000003,0.8120133989747724,141.00000000000003,0.97913102273842,,
,,169,0.8120133989747724,169,0.9756359196295106,,
,,197.00000000000003,0.8162960316072869,197.00000000000003,0.9719638338719929,,
,,225.00000000000003,0.7258243783062631,225.00000000000003,0.9655590268974669,,
,,253.00000000000003,0.7280525931164553,253.00000000000003,0.9654503870080994,,
,,281,0.7261076993351246,281,0.9490534085202056,,
,,309,0.7261076993351248,309,0.9470080696466239,,
,,337,0.7302497792416723,337,0.949059396324486,,
,,,,365,0.8426950182048232,,
,,,,393,0.840648632166144,,
,,,,421.0000000000001,0.8406486318971103,,
,,,,449.0000000000001,0.8406486321879911,,
,,,,477,0.8406486321879884,,
,,,,505,0.8406486321863377,,
