Testosterone20-50,,Testosterone<20,
X,Y,X,Y
0.46865959694659765,0.003286555474188657,1.3121367337675913,0.0019795114691041893
0.7342131540268122,0.0065541654868998545,1.8101629111621662,0.004266838478002022
1.9228906371169083,0.0101485365008821,3.5766579453495595,0.0068809264881709575
2.7529310531186706,0.014069668516135558,3.5964949406479656,0.009821775499611052
2.845821783775005,0.017010517527575597,4.061285957795261,0.013089385512322194
3.191031769011696,0.021585171545371262,4.9577581384212275,0.01635699552503339
3.7554318772249413,0.025179542559353507,4.997489962823573,0.020278127540286794
4.432713934874354,0.02942743557587807,5.3825763569764495,0.023872498554269095
4.990414960613163,0.034982372597487044,6.146156091451238,0.02942743557587807
6.657146680253178,0.04249787562672275,6.823399593230294,0.034982372597487044
7.480401263072202,0.051320422661042975,9.685469322564487,0.04543872463816284
7.5863817117145596,0.06079649169790535,10.376149545162772,0.045765485639433945
8.469359337715762,0.0712528437385811,,
10.375388066723232,0.07157960473985225,,
