CompletePsaResponseM3,,PartialPsaResponseM3,,NoPsaResponseM3,
X,Y,X,Y,X,Y
0.25,100.07889572728567,0,99.72293744451487,0,99.72293744451488
0.5,99.56023154994911,0.25,99.5897873733068,0.25,98.56712109695928
0.75,99.20116528861824,0.49999999999999956,98.04204779855195,0.49999999999999956,95.00640057240867
0.9999999999999996,98.45813113620817,0.75,95.84954709725318,0.75,89.36571881266484
1.25,96.87985780664901,1.0000000000000004,94.03644297342163,1,81.13066848737029
1.5000000000000004,95.70853564079732,1.25,90.61406899904412,1.2499999999999996,75.62133299611244
1.7499999999999996,93.92378082969758,1.5,87.83233406436133,1.5,70.5271134404307
2,92.3732170007807,1.7500000000000004,84.67663478028628,1.75,66.51804305111551
2.249999999999999,90.50309047764772,2.0000000000000004,82.34524611189673,2.0000000000000004,61.75499233580878
2.5,89.00148838823131,2.25,79.8323552367448,2.25,56.03429368120079
2.749999999999999,87.59609940539619,2.5,75.80053631819845,2.5,52.33762710962198
3,86.13890019571102,2.75,72.47975237584816,2.75,50.384104079698176
3.25,84.38458954282643,3,70.08467068755132,3,48.158143881249615
3.500000000000001,82.8042989696855,3.25,67.86414030184655,3.25,44.30053404972793
3.75,80.56669974465099,3.5,64.46088038363101,3.5,42.369718877290026
4.000000000000001,78.67031074097459,3.75,61.06497560395219,3.75,40.5662989202626
4.25,77.89355655531094,4.000000000000001,59.20054435201706,4.000000000000001,39.654384964636236
4.5,76.43643818498562,4.25,57.60905926130863,4.25,37.32946910087742
4.749999999999999,75.06565613863063,4.500000000000001,56.476317098097226,4.5,35.12730659444816
5,72.84941801496407,4.749999999999999,54.514471215355826,4.749999999999999,33.19808525415131
5.25,71.95467160440806,5,52.952317330908755,5,31.62444945271197
5.499999999999999,69.89072808839148,5.25,51.34470933169197,5.250000000000001,31.15375622719722
5.75,68.72377403384883,5.500000000000001,49.34248499419067,5.499999999999999,30.757630995845687
6,67.62175858182238,5.75,49.08612332599381,5.75,30.097725938695916
6.25,66.40486481078479,6.000000000000001,47.07818102179634,6.000000000000001,30.097716469923057
6.5,65.82113080788126,6.25,46.27145872988514,6.25,27.64264728141626
6.75,64.71657079606555,6.5,44.436127232776926,6.5,23.348688846803938
7.000000000000002,63.829833092547645,6.75,42.623019362822845,6.75,22.476413409455716
7.250000000000002,62.351183823916074,7,40.948316976178745,7,22.47641336184647
7.499999999999998,60.97050339427764,7.25,40.31121715628623,7.250000000000002,22.476413361846454
7.75,61.099270870950576,7.499999999999998,37.69262467614038,7.5,22.46753122090088
,,7.75,36.94398977977632,7.75,21.18466546748789
