Testosterone>=50,,Testosterone20-50,,Testosterone<20,
X,Y,X,Y,X,Y
2,0.00048491502550379595,0,0,0,0.00048491502550379595
4.000000000000002,0.00048491502550379595,2,0,2,0.00048491502550379595
6.000000000000002,0.00048491502550379595,4.000000000000002,0,4.000000000000002,0.00048491502550379595
8.000000000000002,0.00048491502550379595,6.000000000000002,0,6.000000000000002,0.00048491502550379595
10.000000000000002,0.00048491502550379595,8.000000000000002,0,8.000000000000002,0.00048491502550379595
12.000000000000002,0.00048491502550379595,10.000000000000002,0,10.000000000000002,0.00048491502550379595
14.000000000000002,0.00048491502550379595,12.000000000000002,0,12.000000000000002,0.00048491502550379595
16,0.00048491502550379595,14.000000000000002,0,14.000000000000002,0.00048491502550379595
18.000000000000007,0.00048491502550379595,16,0,16,0.00048491502550379595
20,0.00048491502550379595,18.000000000000007,0,18.000000000000007,0.00048491502550379595
22,0.00048491502550379595,20,0,20,0.00048491502550379595
24,0.00048491502550379595,22,0,22,0.00048491502550379595
26,0.00048491502550379595,24,0,24,0.00048491502550379595
28,0.00048491502550379595,26,0,26,0.00048491502550379595
30,0.00048491502550379595,28,0,28,0.00048491502550379595
32,0.00048491502550379595,30,0,30,0.00048491502550379595
34.00000000000001,0.00048491503726194596,32,5.551115123125783e-17,32,0.00048491502550379595
36,0.0005529868519280057,34.00000000000001,4.281537346884079e-10,34.00000000000001,0.00048491502553071886
38,0.018425794684795938,36,0.00024003218110812963,36,0.0004850711547162989
40,0.018426770969143857,38,0.005814207480984712,38,0.0024246175806965087
42.00000000000001,0.01843859689885169,40,0.00581898030604544,40,0.0024245751275189242
44,0.03782359607173963,42.00000000000001,0.005835641216579868,42.00000000000001,0.002425108431885259
46,0.03722326996980874,44,0.011637577469649663,44,0.005818725210394282
48,0.07619177481379008,46,0.011442174105941338,46,0.005939840566112298
50.00000000000001,0.07564674397859061,48,0.02347460222412695,48,0.011712876494004043
51.99999999999999,0.07564674397859061,50.00000000000001,0.023275921224181706,50.00000000000001,0.01163796061209088
53.99999999999999,0.07564674397822557,51.99999999999999,0.023275921224181706,51.99999999999999,0.011637960612090825
55.99999999999999,0.07564463062943522,53.99999999999999,0.02327592122419425,53.99999999999999,0.011637960612147447
57.99999999999999,0.09504247634144924,55.99999999999999,0.023275993684001406,55.99999999999999,0.011638288183077494
59.99999999999999,0.09552826002423681,57.99999999999999,0.02909462711265426,57.99999999999999,0.015032234251425025
61.99999999999999,0.15033891960024587,59.99999999999999,0.029579816555727834,59.99999999999999,0.015517280816119194
63.99999999999999,0.15032365791041735,61.99999999999999,0.04701402267842797,61.99999999999999,0.024249825723230256
66,0.15032365783716573,63.99999999999999,0.04703675746754571,63.99999999999999,0.02424575127632217
68,0.1500754749890451,66,0.04703675744897545,66,0.024245751257076287
70,0.16729568379880616,68,0.046947236025210504,68,0.02418060912201947
72,0.16721322637733177,70,0.05285573777991265,70,0.027640156453715703
74,0.202694373625157,72,0.05283087224964361,72,0.027630738163127277
76.00000000000001,0.20266345358678187,74,0.0654634841907289,74,0.033459113534163865
78,0.22112119755809376,76.00000000000001,0.06544527854190563,76.00000000000001,0.03344964240352494
80,0.22112125162972518,78,0.0722523785835168,78,0.03685353390100787
82,0.23809328332563265,80,0.07273725382556762,80,0.03685354193828744
84,0.2524306347539777,82,0.07807132131551359,82,0.04024794800662174
86.00000000000001,0.25506528228916553,84,0.08357262829613143,84,0.04302469017609095
88,0.29065091473587257,86.00000000000001,0.08534509450883387,86.00000000000001,0.043642381599108104
90,0.29094901530227174,88,0.09736858598036285,88,0.05036102201181575
92.00000000000001,0.32512843588123147,90,0.09698300510075708,90,0.050431162652393724
94,0.3248930671529825,92.00000000000001,0.11115029002737115,92.00000000000001,0.05852085388664924
96.00000000000001,0.32489306708754584,94,0.11104554086949309,94,0.05867471804569252
98,0.32489309708030845,96.00000000000001,0.11104554084037116,96.00000000000001,0.05867471808595959
100,0.34331983805667443,98,0.11104555500495694,98,0.05867472381432898
102.00000000000001,0.3433198381050182,100,0.11831926622292138,100,0.06206912326448344
104,0.3433198380566824,102.00000000000001,0.118319266240761,102.00000000000001,0.06206912327153297
106,0.34331984221178596,104,0.11831926622292416,104,0.062069123264484494
108,0.36729445247843434,106,0.11831926676978666,106,0.06206912304883605
110,0.36659575928084925,108,0.12733862568921428,108,0.06663926096846884
,,110,0.12704773668198865,110,0.06691827351951907
