Testosterone<=0.7,,Testosterone>=1.7,,0.7 < Testosterone < 1.7,
X,Y,X,Y,X,Y
0.75,99.47805108627196,0,100.03269377625097,0.25,99.20734133658635
1,98.92116304106369,0.25,100.17805254184427,0.5000000000000009,98.16010582537689
1.25,97.67169740534695,0.5000000000000009,100.17182274165364,0.75,96.94778405317844
1.5,96.13759163452309,0.75,100.02885743507244,1,93.7476074881372
1.7500000000000009,93.73649236918845,1,100.04286424885446,1.25,90.43695838048316
2.000000000000001,91.78044876004417,1.25,87.69170077120306,1.5,89.60909597369583
2.250000000000001,90.66258534018792,1.5,87.6313627102536,1.7500000000000009,86.05764089776649
2.500000000000001,89.62702699371378,1.7500000000000009,87.65024609852982,2.000000000000001,85.4243001257039
2.75,87.24819423939522,2.000000000000001,87.65937223633175,2.250000000000001,83.77287344395849
3,84.95019718252172,2.250000000000001,79.66822565726572,2.500000000000001,80.5694267504694
3.25,83.59559419200905,2.500000000000001,75.12885802997897,2.75,78.18944050835957
3.5,82.13937968364196,2.75,75.24513605924518,3,77.35475955031107
3.750000000000001,79.73238295998323,3,68.2659204012022,3.25,75.80257590290229
4.000000000000003,77.56564818358612,3.25,56.23111619204663,3.5,75.67953642541363
4.250000000000003,76.08459955372766,3.5,50.085969161755976,3.750000000000001,73.99308395120869
4.500000000000001,74.86118300681323,3.750000000000001,50.08582477052062,4.000000000000003,72.55917352719962
4.750000000000001,71.96247299283756,4.000000000000003,38.31750652705327,4.250000000000003,69.7076284828361
5.000000000000001,70.87495596997047,4.250000000000003,33.538868245477445,4.500000000000001,69.70286665463541
5.250000000000001,70.20674740216855,4.500000000000001,33.529734616117636,4.750000000000001,67.46345564091021
5.500000000000001,69.42362552753335,4.750000000000001,33.52973463154318,5.000000000000001,63.68283620212422
5.750000000000001,68.59654691847284,5.000000000000001,33.52973463153869,5.250000000000001,62.46826860850717
6.000000000000001,66.667619640414,5.250000000000001,33.52973463155158,5.500000000000001,58.42651756956964
6.250000000000001,64.68727249720503,5.500000000000001,33.5297347391148,5.750000000000001,57.04228042362856
6.500000000000003,64.0078571891456,5.750000000000001,33.40631598652483,6.000000000000001,56.055391831192836
6.750000000000003,62.589671248979336,6.000000000000001,33.52973506665144,6.250000000000001,54.01464640534948
7.000000000000003,61.849163658114676,6.250000000000001,33.52973463154768,6.500000000000003,52.72937237251409
7.250000000000001,61.4817492394308,6.500000000000003,33.5297346315387,6.750000000000003,52.72933371517963
7.500000000000001,59.69195365623395,6.750000000000003,33.5297346315388,7.000000000000003,52.72937706215642
7.750000000000003,58.41612188857618,7.000000000000003,33.529734616272535,7.250000000000001,50.90186666279537
8,58.42362159984308,7.250000000000001,33.52916459267887,7.500000000000001,49.807533190362214
8.250000000000004,58.4345230312003,7.500000000000001,33.25135726769601,7.750000000000003,49.80765559372247
8.5,58.37391764192211,7.750000000000003,33.251479582774806,8,49.80765559373815
8.75,56.73240042544901,8,33.25147957235575,8.250000000000004,49.80765559373815
9.000000000000004,53.85368661850086,8.250000000000004,33.251479572355805,8.5,49.80765559373815
9.25,53.84214533773654,,,8.75,49.80765559373814
9.500000000000004,53.85674800709326,,,9.000000000000004,49.80765559373815
9.75,53.84301028356443,,,9.25,49.80765559373815
10.000000000000004,51.55251190973295,,,9.500000000000004,49.80765559373657
10.25,49.67935287875351,,,9.75,49.80765677276379
10.500000000000004,49.668219300357926,,,10.000000000000004,50.36451327681573
10.75,46.88841366089075,,,10.25,50.36576665560168
11.000000000000004,44.10328436676254,,,10.500000000000004,50.366711082686564
,,,,10.75,50.349617806600975
,,,,11.000000000000004,49.8076555135377
