Testosterone>=1.7,,0.7 < Testosterone < 1.7,,Testosterone <= 0.7,
X,Y,X,Y,X,Y
0,99.64733046196068,0.5000000000000009,99.6473634352073,1.7500000000000009,99.31339308960393
0.25,99.78630855158961,0.75,99.64746814778805,2,98.94937998457787
0.5,99.78630860765085,1,99.64587533153954,2.249999999999999,98.94997430528778
0.75,99.78630860765378,1.25,99.64022763083338,2.499999999999999,97.93469718739901
1,99.78630860765391,1.5,99.07736359238376,2.75,97.16936415858889
1.25,99.78630885424879,1.7500000000000009,97.99355345365619,3.000000000000001,96.16312996547363
1.5,99.78222744777283,2,97.06943445927702,3.25,95.78522659340297
1.75,99.78551992090213,2.249999999999999,96.86766529368082,3.5,95.05146624560444
1.9999999999999991,98.81558599882669,2.500000000000001,96.08682836947771,3.750000000000001,93.65015990478787
2.249999999999999,87.69498086102163,2.75,94.50512219257331,4.000000000000001,93.36544065750775
2.5,87.69520993334663,3,94.50511880585644,4.250000000000001,93.41741864293199
2.750000000000001,87.69520993235311,3.249999999999999,93.6578570831622,4.500000000000003,92.84356279889604
3.000000000000001,87.6952099323533,3.5,91.99858017395015,4.750000000000003,91.87207674815613
3.25,87.6952099323533,3.750000000000001,90.69763415216202,5.000000000000003,91.13783316843511
3.5,87.6952099323533,3.999999999999999,89.82811851035032,5.250000000000001,90.6666917396941
3.7500000000000027,87.6952099323533,4.250000000000001,88.52894409469646,5.500000000000001,89.64115584699844
4.000000000000001,87.69520993234899,4.500000000000001,87.32222000467401,5.750000000000001,88.0796920138112
4.250000000000001,87.69520990165415,4.750000000000001,86.72614895384574,6.000000000000001,87.20319772993624
4.500000000000003,87.56356647161222,5.000000000000003,85.61031611757916,6.250000000000001,86.56356326538028
4.750000000000001,87.55616979080703,5.249999999999999,85.60948074729966,6.500000000000001,85.84365779245621
5.000000000000001,87.7122975920334,5.499999999999999,84.49881246235009,6.750000000000001,84.23200093089413
5.250000000000001,87.69529773535535,5.750000000000001,82.38353159227267,7.000000000000001,83.82630053773887
5.500000000000001,87.69316945139937,6.000000000000001,80.12185086543153,7.250000000000001,82.13745677145731
5.750000000000001,66.66745613505759,6.249999999999999,78.66161744946429,7.499999999999999,82.13611857809045
6.000000000000001,65.73666078970716,6.500000000000001,78.66163046224884,7.750000000000003,81.85870878863203
6.250000000000001,65.73666291265562,6.750000000000001,78.66155603337552,8.000000000000004,79.9326730460332
6.500000000000001,65.73666291284209,7.000000000000001,76.58112447839726,8.250000000000004,78.39881239917722
6.750000000000001,65.73666291284209,7.250000000000001,76.29900180383443,8.5,78.10598500437945
7.000000000000003,65.73666291284209,7.500000000000001,76.29891312826933,8.750000000000004,78.10571788245304
7.250000000000003,65.73666291284209,7.750000000000003,74.37052166982086,9,78.10571787952892
7.500000000000001,65.73666291284209,8.000000000000004,72.82454889507306,9.25,78.1057178795288
7.750000000000001,65.73666291284209,8.25,72.82454834319013,9.5,78.1057178795288
8.000000000000004,65.73666291284209,8.500000000000004,72.82454834319064,9.75,78.10571787952878
8.250000000000004,65.73666291284209,8.750000000000004,72.82454834319064,10,78.1057178795288
,,9.000000000000004,72.82454834319064,10.25,78.1057178794791
,,9.25,72.82454834319064,10.5,78.10571484280362
,,9.5,72.82454834319276,10.750000000000004,78.26141271664882
,,9.75,72.82454660413549,11,78.10572503092196
,,10,65.32173976532411,,
,,10.250000000000004,48.641973572229595,,
,,10.500000000000004,48.64235099291223,,
,,10.75,48.64235101079512,,
,,11.000000000000004,48.637759079513984,,
