Dual Responders,,Early responders,
X,Y,X,Y
0.021845795385937006,0.03769937441714877,-0.005807026445307617,0.08006156619641658
0.18127446561845417,-29.145783197417174,0.18130092131979936,-29.31324778693334
0.3310600327105857,-32.288422890606626,0.3469334535178059,-27.76717660031011
0.5189418097400447,-31.580071487084425,0.512109624867604,-23.332341244532888
0.7553433430369068,-23.00177725622252,0.753994102268293,-14.461083190897725
1.0201781413547022,-19.40605060786698,0.9963349405171904,-8.478589306416545
1.4999721270289395,-11.501979925791758,1.5152965920332444,-3.505843403034657
2.0082919726788195,-9.166602889529496,2.007273428177023,-2.7192161931568553
3.003575299067531,-9.310058930074746,3.0021731468962263,-0.43443568571760593
4.004553215170832,-10.50026786397612,4.01399790055113,-0.28512632124969084
5.000167237826362,-12.737031273473534,4.998493914716269,-2.1448959865756194
6.00713075635905,-16.816103585408925,6.004928319222049,-2.8746765081875676
6.99130268818271,-16.624432029161746,7.005800412519971,-3.395027084024253
