Subject #1,,Subject #4,,Subject #8,
X,Y,X,Y,X,Y
-0.9708266844794102,1.0972748976385738,-1.0026917034673002,1.0872799693224966,-1.0160116772429835,1.301735505498447
0.023757746687942838,1.975700449029576,0.0025605818829554927,2.1951386054106203,0.0374141833970385,3.122841132593609
5.013839512128746,1.809235412723741,1.9960836704147646,0.9844113754159389,0.7864004651105252,2.704355463193181
5.226325750547371,0.9914127732215081,3.0090548112962474,0.7406538761272121,1.0147004613995372,1.8815551514701694
,,4.020680100444082,1.0505114978785515,1.2482849049368512,1.5026484086045442
,,5.4802563055875115,1.6549127299266453,2.260484160265212,1.194052522853502
,,5.988533046350243,1.0168256206627824,2.999831768533294,1.2992516173723723
,,,,3.9918432478569037,1.2948825472223247
,,,,4.993156937692506,1.4052324934129952
,,,,5.507608762880221,1.2858524758476508
,,,,6.019289716851597,1.600385942776561
,,,,6.267322274588391,1.101787459333753
